player,season_year,games_played,avg_points,avg_assists,avg_rebounds
Wilt Chamberlain,1962,91,48.1,2.7,25.3
Wilt Chamberlain,1961,84,43.8,1.9,25.5
Wilt Chamberlain,1963,78,38.8,4.4,23.2
Wilt Chamberlain,1964,91,38.2,4.1,23.1
Wilt Chamberlain,1960,85,37.2,2.3,26.6
Elgin Baylor,1961,89,37.1,2.7,17.4
James Harden,2019,95,36.9,7.0,6.5
Michael Jordan,1988,92,35.8,5.5,6.5
Michael Jordan,1987,84,35.5,5.6,5.3
Rick Barry,1966,73,34.3,3.3,10.6
Bob McAdoo,1975,84,34.2,2.4,13.5
Jerry West,1965,91,33.6,5.1,6.1
Michael Jordan,1990,99,33.4,6.3,6.8
Michael Jordan,1993,70,33.4,5.3,6.6
Nate Archibald,1972,85,33.4,10.9,2.7
Kareem Abdul-Jabbar,1972,90,33.0,5.0,16.2
Elgin Baylor,1960,86,32.6,1.5,17.6
Bob McAdoo,1974,78,32.3,1.9,13.7
Kareem Abdul-Jabbar,1970,88,32.2,3.3,15.2
Michael Jordan,1989,99,32.2,8.2,7.6
Michael Jordan,1992,101,31.9,6.1,6.4
Wilt Chamberlain,1965,85,31.7,4.2,24.2
Shai Gilgeous-Alexander,2025,104,31.6,6.4,4.7
Oscar Robertson,1964,84,31.5,11.5,9.1
Bernard King,1984,84,31.4,2.6,5.1
Kareem Abdul-Jabbar,1971,98,31.4,3.8,16.8
Kobe Bryant,2006,92,31.3,4.5,4.9
Luka Doncic,2023,65,31.3,7.9,8.2
George Gervin,1980,86,31.2,2.9,5.2
Michael Jordan,1991,98,31.1,6.0,6.0
Oscar Robertson,1965,82,31.1,11.2,8.4
Dominique Wilkins,1988,94,31.0,2.6,6.8
Giannis Antetokounmpo,2022,84,30.8,5.5,11.8
Luka Doncic,2022,97,30.8,8.2,9.0
Michael Jordan,1996,103,30.7,4.0,6.3
Oscar Robertson,1961,69,30.7,10.5,11.3
Walt Bellamy,1962,87,30.7,0.6,17.5
Adrian Dantley,1982,74,30.6,4.2,6.3
George Gervin,1979,92,30.6,2.6,5.4
George Gervin,1982,94,30.5,2.7,5.2
Allen Iverson,2005,93,30.3,7.4,3.4
Jerry West,1962,85,30.3,2.0,5.0
Joel Embiid,2023,79,30.3,4.1,10.0
Pete Maravich,1977,73,30.3,5.9,4.4
Dominique Wilkins,1986,82,30.2,3.1,7.0
Jerry West,1970,95,30.2,8.4,4.6
Oscar Robertson,1962,81,30.2,10.2,11.3
Oscar Robertson,1967,77,30.2,9.4,5.7
World Free,1979,76,30.2,4.1,3.6
Adrian Dantley,1984,81,30.1,3.5,5.9
